type,condition_type,condition_value,pfs_0,pfs_0_months_mean,pfs_0_months_std,pfs_1,pfs_1_months_mean,pfs_1_months_std,pfs_1_perc,dss_0,dss_0_months_mean,dss_0_months_std,dss_1,dss_1_months_mean,dss_1_months_std,dss_1_perc,proportion_val_1_pfs,proportion_val_1_pfs_chi2_p,proportion_val_2_pfs,proportion_val_2_pfs_chi2_p,proportion_val_1_dds,proportion_val_1_dds_chi2_p,proportion_val_2_dds,proportion_val_2_dds_chi2_p,significance
Chemo_0_Hormo_0,pathologic_stage,IV,2,25.27,4.57,0,nan,nan,nan,0,nan,nan,2,25.27,4.57,nan,,,,,,,,,
Chemo_0_Hormo_1,pathologic_stage,I,120,137.75,70.38,32,62.98,49.20,21.05,118,135.93,68.88,34,73.71,67.07,22.37,2.5914,0.011181,0.5477,0.0004,2.0317,0.083081,0.7757,0.164858,PFS 2nd (p<0.05)
Chemo_0_Hormo_1,pathologic_stage,IA,11,24.68,26.84,0,nan,nan,nan,11,24.68,26.84,0,nan,nan,nan,,,,,,,,,
Chemo_0_Hormo_1,pathologic_stage,IB,2,57.87,37.95,0,nan,nan,nan,2,57.87,37.95,0,nan,nan,nan,,,,,,,,,
Chemo_0_Hormo_1,pathologic_stage,II,211,133.61,74.90,136,66.56,51.90,39.19,219,127.02,75.25,127,71.70,55.48,36.71,0.9878,0.942728,0.9924,0.949525,0.9665,0.854068,0.9605,0.745186,
Chemo_0_Hormo_1,pathologic_stage,IIA,32,25.06,14.53,3,16.96,9.15,8.57,34,24.15,14.39,0,nan,nan,nan,0.8331,0.815867,,,,,,,
Chemo_0_Hormo_1,pathologic_stage,IIB,18,26.46,16.40,4,23.16,14.19,18.18,21,26.35,15.98,0,nan,nan,nan,0.846,0.776896,,,,,,,
Chemo_0_Hormo_1,pathologic_stage,III,18,101.38,72.74,28,37.90,30.13,60.87,20,92.88,74.86,26,39.55,28.28,56.52,1.0562,0.817942,,,0.8846,0.667574,,,
Chemo_0_Hormo_1,pathologic_stage,IIIA,6,31.79,23.25,2,11.70,15.56,25.00,6,24.28,15.17,1,0.70,nan,14.29,0.4136,0.283076,,,,,,,
Chemo_0_Hormo_1,pathologic_stage,IIIB,0,nan,nan,1,49.73,nan,nan,1,49.73,nan,0,nan,nan,nan,,,,,,,,,
Chemo_0_Hormo_1,pathologic_stage,IIIC,2,19.54,1.61,0,nan,nan,nan,2,19.54,1.61,0,nan,nan,nan,,,,,,,,,
Chemo_0_Hormo_1,pathologic_stage,IV,1,78.27,nan,3,28.33,23.41,75.00,2,63.65,20.68,2,17.98,21.28,50.00,,,,,,,,,
Chemo_1_Hormo_0,pathologic_stage,I,12,70.39,38.63,3,42.94,40.01,20.00,12,74.65,37.53,3,25.88,10.47,20.00,0.5204,0.153437,2.7275,0.067362,0.6935,0.462383,2.2725,0.164725,
Chemo_1_Hormo_0,pathologic_stage,IA,6,30.00,20.77,0,nan,nan,nan,6,30.00,20.77,0,nan,nan,nan,,,,,,,,,
Chemo_1_Hormo_0,pathologic_stage,IB,0,nan,nan,0,nan,nan,nan,0,nan,nan,0,nan,nan,nan,,,,,,,,,
Chemo_1_Hormo_0,pathologic_stage,II,46,184.86,95.55,48,33.25,31.15,51.06,43,190.11,94.06,51,37.75,40.81,54.26,1.293,0.073685,0.7581,0.129846,1.4197,0.013277,0.6539,0.021481,DDS (p<0.05)
Chemo_1_Hormo_0,pathologic_stage,IIA,44,37.03,29.30,1,10.17,nan,2.22,45,36.43,29.24,0,nan,nan,nan,,,3.2162,0.273485,,,,,
Chemo_1_Hormo_0,pathologic_stage,IIB,23,42.75,39.74,1,26.73,nan,4.17,22,38.55,35.07,1,26.73,nan,4.35,,,3.6882,0.168861,,,1.7678,0.604585,
Chemo_1_Hormo_0,pathologic_stage,III,10,179.36,139.04,16,21.65,14.72,61.54,8,186.87,119.79,18,35.84,78.03,69.23,,,1.0447,0.864079,,,0.7222,0.230804,
Chemo_1_Hormo_0,pathologic_stage,IIIA,11,31.91,26.25,5,19.24,12.15,31.25,13,29.36,25.05,3,21.84,13.55,18.75,,,0.3309,0.079124,,,,,
Chemo_1_Hormo_0,pathologic_stage,IIIB,1,7.50,nan,0,nan,nan,nan,1,7.50,nan,0,nan,nan,nan,,,,,,,,,
Chemo_1_Hormo_0,pathologic_stage,IIIC,10,33.90,19.10,3,17.68,14.17,23.08,12,31.66,18.92,1,12.03,nan,7.69,,,0.5416,0.548893,,,,,
Chemo_1_Hormo_0,pathologic_stage,IV,0,nan,nan,2,10.05,2.19,nan,0,nan,nan,2,10.05,2.19,nan,,,,,,,,,
Chemo_1_Hormo_1,pathologic_stage,I,5,92.51,51.49,6,62.90,66.23,54.55,6,83.73,50.83,5,67.51,72.97,45.45,2.5914,0.011181,2.7275,0.067362,2.0317,0.083081,2.2725,0.164725,
Chemo_1_Hormo_1,pathologic_stage,IA,6,59.52,48.86,0,nan,nan,nan,6,59.52,48.86,0,nan,nan,nan,,,,,,,,,
Chemo_1_Hormo_1,pathologic_stage,IB,2,62.98,17.61,0,nan,nan,nan,2,62.98,17.61,0,nan,nan,nan,,,,,,,,,
Chemo_1_Hormo_1,pathologic_stage,II,38,120.41,52.31,24,63.09,42.73,38.71,40,124.05,48.21,22,51.26,34.98,35.48,0.9878,0.942728,0.7581,0.129846,0.9665,0.854068,0.6539,0.021481,DDS (p<0.05)
Chemo_1_Hormo_1,pathologic_stage,IIA,39,41.07,31.25,3,53.09,45.57,7.14,41,41.75,32.26,1,49.00,nan,2.38,0.8331,0.815867,3.2162,0.273485,,,,,
Chemo_1_Hormo_1,pathologic_stage,IIB,33,40.21,27.26,6,29.59,20.27,15.38,36,38.99,26.68,3,33.56,26.44,7.69,0.846,0.776896,3.6882,0.168861,,,1.7678,0.604585,
Chemo_1_Hormo_1,pathologic_stage,III,5,192.66,124.30,9,41.56,33.70,64.29,7,165.29,112.22,7,25.75,9.73,50.00,1.0562,0.817942,1.0447,0.864079,0.8846,0.667574,0.7222,0.230804,
Chemo_1_Hormo_1,pathologic_stage,IIIA,26,43.88,32.84,3,49.39,31.36,10.34,29,44.45,32.19,0,nan,nan,nan,0.4136,0.283076,0.3309,0.079124,,,,,
Chemo_1_Hormo_1,pathologic_stage,IIIB,1,12.43,nan,1,7.90,nan,50.00,1,12.43,nan,1,7.90,nan,50.00,,,,,,,,,
Chemo_1_Hormo_1,pathologic_stage,IIIC,7,27.14,11.19,1,4.77,nan,12.50,8,24.35,13.04,0,nan,nan,nan,,,0.5416,0.548893,,,,,
Chemo_1_Hormo_1,pathologic_stage,IV,0,nan,nan,3,13.90,10.90,nan,0,nan,nan,3,13.90,10.90,nan,,,,,,,,,
Chemo_0,pathologic_stage,I,253,162.19,80.76,115,73.39,61.56,31.25,271,155.58,80.62,96,73.51,69.02,26.16,1.1078,0.72101,,,1.1762,0.606506,,,
Chemo_0,pathologic_stage,IA,14,24.55,23.62,0,nan,nan,nan,14,24.55,23.62,0,nan,nan,nan,,,,,,,,,
Chemo_0,pathologic_stage,IB,3,45.63,34.19,0,nan,nan,nan,3,45.63,34.19,0,nan,nan,nan,,,,,,,,,
Chemo_0,pathologic_stage,II,306,140.83,82.12,198,60.82,52.44,39.29,316,134.19,82.36,187,66.39,58.98,37.18,1.1746,0.127343,,,1.2585,0.031767,,,
Chemo_0,pathologic_stage,IIA,36,23.66,14.33,3,16.96,9.15,7.69,38,22.92,14.15,0,nan,nan,nan,0.5982,0.483261,,,,,,,
Chemo_0,pathologic_stage,IIB,22,30.19,27.72,4,23.16,14.19,15.38,24,29.64,26.96,0,nan,nan,nan,0.7224,0.577495,,,,,,,
Chemo_0,pathologic_stage,III,18,101.38,72.74,28,37.90,30.13,60.87,20,92.88,74.86,26,39.55,28.28,56.52,1.0268,0.876755,,,1.1058,0.573518,,,
Chemo_0,pathologic_stage,IIIA,6,31.79,23.25,2,11.70,15.56,25.00,6,24.28,15.17,1,0.70,nan,14.29,0.7112,0.630453,,,0.4668,0.4816,,,
Chemo_0,pathologic_stage,IIIB,0,nan,nan,1,49.73,nan,nan,1,49.73,nan,0,nan,nan,nan,,,,,,,,,
Chemo_0,pathologic_stage,IIIC,3,16.06,6.13,0,nan,nan,nan,3,16.06,6.13,0,nan,nan,nan,,,,,,,,,
Chemo_0,pathologic_stage,IV,3,42.93,30.77,3,28.33,23.41,50.00,2,63.65,20.68,4,21.62,13.25,66.67,,,,,,,,,
Chemo_1,pathologic_stage,I,17,76.89,42.38,9,56.25,56.93,34.62,18,77.68,41.12,8,51.90,59.48,30.77,1.1078,0.72101,,,1.1762,0.606506,,,
Chemo_1,pathologic_stage,IA,12,44.76,38.97,0,nan,nan,nan,12,44.76,38.97,0,nan,nan,nan,,,,,,,,,
Chemo_1,pathologic_stage,IB,2,62.98,17.61,0,nan,nan,nan,2,62.98,17.61,0,nan,nan,nan,,,,,,,,,
Chemo_1,pathologic_stage,II,84,155.71,84.92,72,43.20,37.88,46.15,83,158.27,82.10,73,41.82,39.40,46.79,1.1746,0.127343,,,1.2585,0.031767,,,
Chemo_1,pathologic_stage,IIA,83,38.93,30.12,4,42.36,42.95,4.60,86,38.97,30.65,1,49.00,nan,1.15,0.5982,0.483261,,,,,,,
Chemo_1,pathologic_stage,IIB,56,41.25,32.64,7,29.18,18.54,11.11,58,38.83,29.84,4,31.85,21.86,6.45,0.7224,0.577495,,,,,,,
Chemo_1,pathologic_stage,III,15,183.79,129.94,25,28.82,24.68,62.50,15,176.80,112.68,25,33.01,66.01,62.50,1.0268,0.876755,,,1.1058,0.573518,,,
Chemo_1,pathologic_stage,IIIA,37,40.32,31.16,8,30.55,24.67,17.78,42,39.78,30.68,3,21.84,13.55,6.67,0.7112,0.630453,,,0.4668,0.4816,,,
Chemo_1,pathologic_stage,IIIB,2,9.96,3.49,1,7.90,nan,33.33,2,9.96,3.49,1,7.90,nan,33.33,,,,,,,,,
Chemo_1,pathologic_stage,IIIC,17,31.12,16.25,4,14.45,13.25,19.05,20,28.74,16.83,1,12.03,nan,4.76,,,,,,,,,
Chemo_1,pathologic_stage,IV,0,nan,nan,5,12.36,8.06,nan,0,nan,nan,5,12.36,8.06,nan,,,,,,,,,
Hormon_0,pathologic_stage,I,145,174.82,86.48,86,76.20,64.98,37.23,165,163.75,86.85,65,71.21,69.68,28.26,0.6261,0.003396,,,0.8468,0.337216,,,PFS (p<0.05)
Hormon_0,pathologic_stage,IA,9,28.03,16.88,0,nan,nan,nan,9,28.03,16.88,0,nan,nan,nan,,,,,,,,,
Hormon_0,pathologic_stage,IB,1,21.17,nan,0,nan,nan,nan,1,21.17,nan,0,nan,nan,nan,,,,,,,,,
Hormon_0,pathologic_stage,II,141,166.02,95.55,110,41.68,44.45,43.82,140,162.57,96.13,111,47.15,55.56,44.22,0.8927,0.232691,,,0.8259,0.049434,,,DDS (p<0.05)
Hormon_0,pathologic_stage,IIA,48,34.98,28.89,1,10.17,nan,2.04,49,34.47,28.80,0,nan,nan,nan,3.8186,0.169449,,,,,,,
Hormon_0,pathologic_stage,IIB,27,43.37,41.60,1,26.73,nan,3.57,25,40.25,38.81,1,26.73,nan,3.85,4.591,0.087882,,,1.2987,0.815484,,,
Hormon_0,pathologic_stage,III,10,179.36,139.04,16,21.65,14.72,61.54,8,186.87,119.79,18,35.84,78.03,69.23,1.0021,0.991041,,,0.7945,0.217303,,,
Hormon_0,pathologic_stage,IIIA,11,31.91,26.25,5,19.24,12.15,31.25,13,29.36,25.05,3,21.84,13.55,18.75,0.4323,0.129755,,,0.1483,0.046051,,,DDS (p<0.05)
Hormon_0,pathologic_stage,IIIB,1,7.50,nan,0,nan,nan,nan,1,7.50,nan,0,nan,nan,nan,,,,,,,,,
Hormon_0,pathologic_stage,IIIC,11,31.64,19.60,3,17.68,14.17,21.43,13,29.93,19.16,1,12.03,nan,7.14,0.4666,0.458902,,,,,,,
Hormon_0,pathologic_stage,IV,2,25.27,4.57,2,10.05,2.19,50.00,0,nan,nan,4,17.66,9.26,nan,1.7142,0.200751,,,,,,,
Hormon_1,pathologic_stage,I,125,135.94,70.13,38,62.97,51.20,23.31,124,133.40,68.88,39,72.91,66.87,23.93,0.6261,0.003396,,,0.8468,0.337216,,,PFS (p<0.05)
Hormon_1,pathologic_stage,IA,17,36.98,38.61,0,nan,nan,nan,17,36.98,38.61,0,nan,nan,nan,,,,,,,,,
Hormon_1,pathologic_stage,IB,4,60.42,24.33,0,nan,nan,nan,4,60.42,24.33,0,nan,nan,nan,,,,,,,,,
Hormon_1,pathologic_stage,II,249,131.59,71.98,160,66.04,50.52,39.12,259,126.56,71.68,149,68.68,53.36,36.52,0.8927,0.232691,,,0.8259,0.049434,,,DDS (p<0.05)
Hormon_1,pathologic_stage,IIA,71,33.85,26.23,6,35.02,35.44,7.79,75,33.77,27.07,1,49.00,nan,1.32,3.8186,0.169449,,,,,,,
Hormon_1,pathologic_stage,IIB,51,35.36,24.72,10,27.02,17.51,16.39,57,34.33,23.96,3,33.56,26.44,5.00,4.591,0.087882,,,1.2987,0.815484,,,
Hormon_1,pathologic_stage,III,23,121.23,91.54,37,38.79,30.59,61.67,27,111.66,89.70,33,36.62,25.99,55.00,1.0021,0.991041,,,0.7945,0.217303,,,
Hormon_1,pathologic_stage,IIIA,32,41.62,31.30,5,34.31,31.28,13.51,35,41.00,30.77,1,0.70,nan,2.78,0.4323,0.129755,,,0.1483,0.046051,,,DDS (p<0.05)
Hormon_1,pathologic_stage,IIIB,1,12.43,nan,2,28.81,29.58,66.67,2,31.08,26.38,1,7.90,nan,33.33,,,,,,,,,
Hormon_1,pathologic_stage,IIIC,9,25.45,10.27,1,4.77,nan,10.00,10,23.38,11.69,0,nan,nan,nan,0.4666,0.458902,,,,,,,
Hormon_1,pathologic_stage,IV,1,78.27,nan,6,21.12,18.14,85.71,2,63.65,20.68,5,15.53,13.33,71.43,1.7142,0.200751,,,,,,,
